,formula_unedited,formula,space group,target
0,0.14 SiS2-0.09 P2S5-0.47 Li2S-0.30 LiI,I0.3Li1.24P0.18S1.2Si0.14,,-2.7786033870301154
1,La0.51Li0.34TiO2.94,La0.51Li0.34TiO2.94,221.0,-3.5774509799928715
2,La0.52Li0.45TiO3,La0.52Li0.45TiO3,123.0,-3.2026463086937507
3,La0.54Li0.36TiO3,La0.54Li0.36TiO3,221.0,-2.529913650775975
4,La0.54Li0.39TiO3,La0.54Li0.39TiO3,123.0,-3.0447544992118756
5,La0.55Li0.36TiO3,La0.55Li0.36TiO3,123.0,-2.987445420464013
6,La0.56Li0.33TiO3,La0.56Li0.33TiO3,123.0,-3.2812654136679034
7,La0.58Li0.27TiO3,La0.58Li0.27TiO3,123.0,-3.1512249256599825
8,La0.61Li0.18TiO3,La0.61Li0.18TiO3,123.0,-3.5324782489279056
9,Li0.18La0.61TiO3,Li0.18La0.61TiO3,65.0,-3.5262831390564746
10,Li0.24La0.65TiO3,Li0.24La0.65TiO3,47.0,-3.1289561245337127
11,Li0.39La0.54TiO3,Li0.39La0.54TiO3,,-2.9789880363755663
12,0.2(Li2S) 0.8(GeS2),Li0.4S1.8Ge0.8,,-6.958607314841775
13,0.3(Li2S) 0.7(GeS2),Li0.6S1.7Ge0.7,,-6.031517051446065
14,0.4(Li2S) 0.6(GeS2),Li0.8S1.6Ge0.6,,-5.523351341960726
15,0.3LiI-0.7(0.6Li2S-0.4SiS2),Li1.14I0.3S1.22Si0.4,,-3.2854437620939034
16,0.2LiI-0.8(0.6Li2S-0.4SiS2),Li1.16I0.2S1.28Si0.4,,-3.681776112541235
17,0.975(0.6Li2S-0.4SiS2)-0.025Li3GaO3,Li1.245S1.385Si0.4Ga0.025O0.075,,-3.1590132541760614
18,0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,Li1.254S1.382Si0.4In0.03O0.09,,-3.508640565774164
19,0.63(Li2S) 0.37(GeS2),Li1.26S1.37Ge0.37,,-3.8239087409443187
20,0.95(0.6Li2S-0.4SiS2)-0.05Li3AlO3,Li1.29S1.37Si0.4Al0.05O0.15,,-2.8981844368347436
