id,formula,target,balanced_charge,Ea (eV),space group,ICSD Entry,formula_preprocessed
1,LiAlSi3O8,1.30E-10,1,,2.0,81980.0,LiAlSi3O8
2,LiSn2(PO4)3,2.04E-09,1,,2.0,83832.0,LiSn2(PO4)3
3,Li7BiO6,8.80E-07,1,0.58,2.0,155950.0,Li7BiO6
4,Li7SbO6,6.70E-08,1,0.7,2.0,413370.0,Li7SbO6
5,Li7P3S11,1.70E-02,1,0.17,2.0,157654.0,Li7P3S11
6,Li7P3S11,3.20E-03,1,0.124,2.0,157654.0,Li7P3S11
7,LiV(PO4)F,8.10E-07,1,0.23,2.0,183876.0,LiV(PO4)F
8,Li2B3PO8,5.80E-15,1,0.76,2.0,248343.0,Li2B3PO8
9,Li3BP2O8,9.60E-12,1,0.62,2.0,248343.0,Li3BP2O8
10,Li2NaBP2O8,4.40E-18,1,1.21,2.0,291512.0,Li2NaBP2O8
11,Li4P2O7,<1E-10,1,1.617,2.0,248414.0,Li4P2O7
12,LiMgSO4F,5.40E-08,1,0.54,2.0,281119.0,LiMgSO4F
13,Li6CuB4O10,1.00E-13,1,0.92,2.0,4819.0,Li6CuB4O10
14,Li0.91Hf2.022(PO4)3,<1E-10,1,0.47,2.0,,Li0.91Hf2.022(PO4)3
15,Li7P3S11,8.60E-03,1,0.29,2.0,,Li7P3S11
16,Li2ZnGeO4,1.00E-07,1,0.4,7.0,34362.0,Li2ZnGeO4
17,Li3.8Ge0.8P0.2S4,1.78E-06,1,0.47,11.0,,Li3.8Ge0.8P0.2S4
18,Li3.6Ge0.6P0.4S4,1.75E-04,1,0.34,11.0,,Li3.6Ge0.6P0.4S4
19,Li3.4Ge0.4P0.6S4,6.54E-04,1,0.28,11.0,,Li3.4Ge0.4P0.6S4
20,Li3.35Ge0.35P0.65S4,1.54E-03,1,0.23,11.0,,Li3.35Ge0.35P0.65S4
21,Li3.3Ge0.3P0.7S4,1.74E-03,1,0.22,11.0,,Li3.3Ge0.3P0.7S4
22,Li3.25Ge0.25P0.75S4,2.20E-03,1,0.207,11.0,,Li3.25Ge0.25P0.75S4
23,Li3.2Ge0.2P0.8S4,5.55E-04,1,0.27,11.0,,Li3.2Ge0.2P0.8S4
24,Li4SiS4,5.00E-08,1,0.56,11.0,59708.0,Li4SiS4
25,Li7.22Si1.5P0.5O8,1.64E-07,1,0.48,11.0,238602.0,Li7.22Si1.5P0.5O8
26,Li4SiO4,5.00E-10,1,0.55,11.0,238603.0,Li4SiO4
27,Li4SiS4,1.59E-08,1,0.56,11.0,,Li4SiS4
28,Li3.8Si0.8P0.2S4,8.11E-07,1,0.37,11.0,,Li3.8Si0.8P0.2S4
29,Li3.6Si0.6P0.4S4,7.19E-05,1,0.34,11.0,,Li3.6Si0.6P0.4S4
30,Li3.5Si0.5P05S4,1.66E-04,1,0.34,11.0,,Li3.5Si0.5P05S4
31,Li3.4Si0.4P0.6S4,6.62E-04,1,0.29,11.0,,Li3.4Si0.4P0.6S4
32,Li3.3Si0.3P0.7S4,1.02E-05,1,0.36,11.0,,Li3.3Si0.3P0.7S4
33,Li3.2Si0.2P0.8S4,3.20E-06,1,0.37,11.0,,Li3.2Si0.2P0.8S4
34,Li4SiS4,1.62E-08,1,0.56,11.0,,Li4SiS4
35,Li3.8Si0.8P0.2S4,8.07E-07,1,0.37,11.0,,Li3.8Si0.8P0.2S4
36,Li3.6Si0.6P0.4S4,7.11E-05,1,0.34,11.0,,Li3.6Si0.6P0.4S4
37,Li3.5Si0.5P0.5S4,1.61E-04,1,0.34,11.0,,Li3.5Si0.5P0.5S4
38,Li3.4Si0.4P0.6S4,6.49E-04,1,0.29,11.0,,Li3.4Si0.4P0.6S4
39,Li3.3Si0.3P0.7S4,9.84E-06,1,0.36,11.0,,Li3.3Si0.3P0.7S4
40,Li3.2Si0.2P0.8S4,3.05E-06,1,0.37,11.0,,Li3.2Si0.2P0.8S4
41,Li3.1P0.9Si0.1O4,7.47E-08,1,,11.0,,Li3.1P0.9Si0.1O4
42,Li3.5P0.5Si0.5O4,2.89E-06,1,,11.0,,Li3.5P0.5Si0.5O4
43,Li3.9P0.1Si0.9O4,1.99E-08,1,,11.0,,Li3.9P0.1Si0.9O4
44,Li3.7P0.3Si0.7O4,3.84E-07,1,,11.0,35168.0,Li3.7P0.3Si0.7O4
45,Li3InCl6,2.04E-03,1,0.35,12.0,89617.0,Li3InCl6
46,Li2P2S6,7.80E-11,1,0.48,12.0,253894.0,Li2P2S6
47,Li0.6[Li0.2Sn0.8S2],1.20E-04,1,0.17,12.0,,Li0.6[Li0.2Sn0.8S2]
48,Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18,3.80E-07,1,0.62,12.0,412011.0,Li3.0Mo8.0S8.0O16.0H6.0W1
49,Li17Sb13S28,1.05E-09,1,0.4,12.0,429902.0,Li17Sb13S28
50,Li3InBr6,9.04E-04,1,,12.0,,Li3InBr6
51,Li3YBr6,1.92E-03,1,0.37,12.0,,Li3YBr6
