element,valence_p,heat_atomization(kJ/mol),Atomic_Radius,ionic_radius,Pauling_Electronegativity,Density_(g/mL),Zunger_radii_sum,valence_f,Melting_point_(K),outer_shell_electrons,Metal,valence_d,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_f_valence_electrons,crystal_radius,Number_of_unfilled_d_valence_electrons,metallic_valence,1st_ionization_potential_(kJ/mol),Cohesive_energy,number_of_valence_electrons,Atomic_Weight,Number_of_unfilled_s_valence_electrons,heat_of_vaporization_(kJ/mol)_,heat_of_fusion_(kJ/mol)_,Covalent_Radius,valence_s
H,0,218,0.53,0.25,2.2,6.99e-05,1.25,0,14.05,1,0,0,6,14,0.1,10,0.0,1312,0.0,1,1.00794,1,0.44936,0.5868,0.37,1
He,0,0,0.31,0.31,0.0,0.000179,0.0,0,0.95,0,0,0,6,14,0.0,10,0.0,2372,0.0,0,4.002602,2,0.0845,0.02,0.32,0
Li,0,161,1.67,1.45,0.98,0.543,1.61,0,453.65,1,1,0,6,14,0.9,10,1.0,520,1.63,1,6.941,1,145.92,3.0,1.34,1
Be,0,324,1.12,1.05,1.57,1.85,1.08,0,1551.15,2,1,0,6,14,0.41,10,2.0,899,3.32,2,9.01218,0,292.4,7.95,0.9,2
B,1,573,0.87,0.85,2.04,2.34,0.795,0,2352.15,3,0,0,5,14,0.25,10,3.0,801,5.81,3,10.811,0,489.7,50.2,0.82,2
C,2,717,0.67,0.7,2.55,2.25,0.64,0,3640.15,4,0,0,4,14,0.29,10,4.0,1086,7.37,4,12.011,0,355.8,105.0,0.77,2
N,3,473,0.56,0.65,3.04,0.00125,0.54,0,63.25,5,0,0,3,14,0.3,10,3.0,1402,4.92,5,14.00674,0,2.7928,0.3604,0.75,2
O,4,249,0.48,0.6,3.44,0.00143,0.465,0,54.75,6,0,0,2,14,1.21,10,0.0,1314,2.62,6,15.9994,0,3.4099,0.22259,0.73,2
F,5,79,0.42,0.5,3.98,0.0017,0.405,0,53.35,7,0,0,1,14,1.19,10,0.0,1681,0.84,7,18.998403,0,3.2698,0.2552,0.71,2
Ne,0,0,0.38,0.38,0.0,0.0009,0.0,0,24.45,0,0,0,6,14,0.0,10,0.0,2081,0.02,0,20.1797,2,1.7326,0.3317,0.69,0
Na,0,109,1.9,1.8,0.93,0.971,2.65,0,370.95,1,1,0,6,14,1.16,10,1.0,496,1.113,1,22.989768,1,96.96,2.598,1.54,1
Mg,0,148,1.45,1.5,1.31,1.74,2.03,0,922.15,2,1,0,6,14,0.86,10,2.0,738,1.51,2,24.305,0,127.4,8.954,1.3,2
Al,1,326,1.18,1.25,1.61,2.7,1.675,0,933.15,3,1,0,5,14,0.53,10,3.0,578,3.39,3,26.981539,0,293.4,10.79,1.18,2
Si,2,452,1.11,1.1,1.9,2.33,1.42,0,1683.15,4,0,0,4,14,0.4,10,4.0,787,4.63,4,28.0855,0,384.22,50.55,1.11,2
P,3,315,0.98,1.0,2.19,1.82,1.24,0,317.25,5,0,0,3,14,0.31,10,3.0,1012,3.43,5,30.973762,0,12.129,0.657,1.06,2
S,4,279,0.88,1.0,2.58,2.07,1.1,0,385.95,6,0,0,2,14,0.43,10,2.0,1000,2.85,6,32.066,0,9.8,1.7175,1.02,2
Cl,5,121,0.79,1.0,3.16,0.00321,1.01,0,172.15,7,0,0,1,14,1.67,10,0.0,1251,1.4,7,35.4527,0,10.2,3.23,0.99,2
Ar,0,0,0.71,0.71,0.0,0.00178,0.0,0,83.95,0,0,0,6,14,0.0,10,0.0,1521,0.08,0,39.948,2,6.447,1.188,0.97,0
K,0,90,2.43,2.2,0.82,0.86,3.69,0,336.4,1,1,0,6,14,1.52,10,1.0,419,0.934,1,39.0983,1,79.87,2.334,1.96,1
Ca,0,178,1.94,1.8,1.0,1.55,3.0,0,1112.15,2,1,0,6,14,1.14,10,2.0,590,1.84,2,40.078,0,153.3,8.54,1.74,2
Sc,0,378,1.84,1.6,1.36,2.99,2.75,0,1814.15,2,1,1,6,14,0.89,9,3.0,633,3.9,3,44.95591,0,314.2,14.1,1.44,2
Ti,0,470,1.76,1.4,1.54,4.54,2.58,0,1933.15,2,1,2,6,14,0.75,8,4.0,659,4.85,4,47.88,0,421.0,15.45,1.36,2
V,0,514,1.71,1.35,1.63,6.11,2.43,0,2163.15,2,1,3,6,14,0.68,7,5.0,651,5.31,5,50.9415,0,453.0,20.9,1.25,2
Cr,0,397,1.66,1.4,1.66,7.19,2.44,0,2130.15,1,1,5,6,14,0.76,5,5.78,653,4.1,6,51.9961,1,344.3,16.9,1.27,1
Mn,0,281,1.61,1.4,1.55,7.43,2.22,0,1517.15,2,1,5,6,14,0.81,5,5.78,717,2.92,7,54.93805,0,226.0,12.05,1.39,2
Fe,0,418,1.56,1.4,1.83,7.86,2.11,0,1808.15,2,1,6,6,14,0.69,4,5.78,762,4.28,8,55.847,0,349.6,13.8,1.25,2
Co,0,425,1.52,1.35,1.88,8.9,2.02,0,1768.15,2,1,7,6,14,0.54,3,5.78,760,4.39,9,58.9332,0,376.5,16.19,1.26,2
Ni,0,430,1.49,1.35,1.91,8.9,2.18,0,1726.15,2,1,8,6,14,0.7,2,5.78,737,4.44,10,58.6934,0,370.4,17.47,1.21,2
Cu,0,338,1.45,1.35,1.9,8.96,2.04,0,1356.15,1,1,10,6,14,0.71,0,5.44,745,3.49,11,63.546,1,300.3,13.05,1.38,1
Zn,0,131,1.42,1.35,1.65,7.13,1.88,0,692.75,2,1,10,6,14,0.74,0,4.44,906,1.35,12,65.39,0,115.3,7.322,1.31,2
Ga,1,286,1.36,1.3,1.81,5.9,1.695,0,302.95,3,1,0,5,14,0.76,10,3.44,579,2.81,3,69.723,0,258.7,5.59,1.26,2
Ge,2,377,1.25,1.25,2.01,5.32,1.56,0,1220.55,4,0,0,4,14,0.53,10,4.0,762,3.85,4,72.61,0,330.9,36.94,1.22,2
As,3,302,1.14,1.15,2.18,5.73,1.415,0,1090.15,5,0,0,3,14,0.72,10,3.0,947,2.96,5,74.92159,0,34.76,27.7,1.19,2
Se,4,227,1.03,1.15,2.55,4.79,1.285,0,490.15,6,0,0,2,14,0.56,10,2.0,941,2.46,6,78.96,0,37.7,6.694,1.16,2
Br,5,112,0.94,1.15,2.96,3.12,1.2,0,265.95,7,0,0,1,14,1.82,10,0.0,1140,1.22,7,79.904,0,15.438,5.286,1.14,2
Kr,0,0,0.88,0.88,3.0,0.00374,0.0,0,116.15,0,0,0,6,14,,10,0.0,1351,0.116,0,83.8,2,9.029,1.638,1.1,0
Rb,0,86,2.65,2.35,0.82,1.53,4.1,0,312.05,1,1,0,6,14,1.66,10,1.0,403,0.852,1,85.4678,1,72.216,2.192,2.11,1
Sr,0,164,2.19,2.0,0.95,2.54,3.21,0,1042.15,2,1,0,6,14,1.32,10,2.0,549,1.72,2,87.62,0,144.0,8.3,1.92,2
Y,0,423,2.12,1.85,1.22,4.47,2.94,0,1796.15,2,1,1,6,14,1.04,9,3.0,600,4.37,3,88.90585,0,363.0,11.4,1.62,2
Zr,0,609,2.06,1.55,1.33,6.51,2.825,0,2125.15,2,1,2,6,14,0.86,8,4.0,640,6.25,4,91.224,0,582.0,16.9,1.48,2
Nb,0,726,1.98,1.45,1.6,8.57,2.76,0,2741.15,1,1,4,6,14,0.78,6,5.0,652,7.57,5,92.90638,1,682.0,26.4,1.37,1
Mo,0,658,1.9,1.45,2.16,10.2,2.72,0,2890.15,1,1,5,6,14,0.79,5,5.78,684,6.82,6,95.94,1,598.0,32.0,1.45,1
Tc,0,677,1.83,1.35,1.9,11.5,2.65,0,2445.15,2,1,5,6,14,0.79,5,5.78,702,6.85,7,97.9072,0,660.0,24.0,1.56,2
Ru,0,643,1.78,1.3,2.2,12.4,2.605,0,2583.15,1,1,7,6,14,0.82,3,5.78,710,6.74,8,101.07,1,595.0,24.0,1.26,1
