,formula_unedited,formula,space group,target
1004,0.8(0.6Li2-0.4SiS2)-0.2(0.6Li2O-0.4P2O5),Li1.2Si0.4S0.8O2.12P0.8,,-4.114073660198569
466,Li6.125P0.875Si0.125S5Br,Li6.125P0.875Si0.125S5Br,216.0,-3.0447934624580584
138,Li0.2Ca0.4TaO3,Li0.2Ca0.4TaO3,62.0,-8.452225294612177
248,Li10(Ge0.416Sn0.584)P2S12,Li10Ge0.416Sn0.584P2S12,137.0,-2.1290111862394245
1114,0.2Li2S-0.55Li2O-0.25P2S5,Li1.5O0.55P0.5S1.45,,-4.562249437179612
282,LiScO2,LiScO2,141.0,-12.0
1303,La0.566Li0.1Ti0.9Al0.1O3,La0.566Li0.1Ti0.9Al0.1O3,,-5.13430394008393
483,Li6P(S4.4Se0.6)Br,Li6PS4.4Se0.6Br,216.0,-2.555955204081924
18,0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,Li1.254S1.382Si0.4In0.03O0.09,,-3.508640565774164
139,Li0.2(Ca0.36Sr0.04)TaO3,Li0.2Ca0.36Sr0.04TaO3,62.0,-8.036212172654444
852,Li3V2(PO4)3,Li3V2P3O12,,-6.679853713888946
218,La0.63Li0.11(Mg0.5W0.5)O3,La0.63Li0.11Mg0.5W0.5O3,129.0,-5.167491087293763
1296,La0.51Li0.36Ti0.95W0.05O3,La0.51Li0.36Ti0.95W0.05O3,,-3.136677139879544
873,0.25 LiBr-0.38 SiS2-0.38 Li2S,Br0.25Li1.01S1.14Si0.38,,-3.619788758288394
241,Li3.26Sn0.26P0.74S4,Li3.26Sn0.26P0.74S4,137.0,-2.343901797987168
528,(La0.402Li0.368Sr0.230)(TiO3),La0.402Li0.368Sr0.23TiO3,221.0,-4.542118103266008
498,Li6P0.53Ge0.47S5I,Li6P0.53Ge0.47S5I,216.0,-2.8181564120552274
1279,Li0.5La0.5Ti0.94Zr0.06O3,Li0.5La0.5Ti0.94Zr0.06O3,,-3.6516951369518393
35,0.92(0.6Li2S-0.4SiS2)-0.08Li3AlO3,Li1.344S1.352Si0.4Al0.08O0.24,,-3.3990612065319104
497,Li6P0.64Ge0.36S5I,Li6P0.64Ge0.36S5I,216.0,-3.1817741063860447
234,Li3.45Si0.45P0.55S4,Li3.45Si0.45P0.55S4,137.0,-2.171984935776023
1111,0.05Li2S-0.7Li2O-0.25P2S5,Li1.5O0.7P0.5S1.3,,-4.847711655616943
1304,La0.516Li0.15Ti0.85Al0.15O3,La0.516Li0.15Ti0.85Al0.15O3,,-5.015022873584507
48,Li1.4Al0.4Ge1.6(PO4)3,Li1.4Al0.4Ge1.6P3O12,167.0,-3.612391444259284
1197,0.975(0.61Li2S-0.39SiS2)-0.025Li3PO4,Li1.264S1.375Si0.39P0.025O0.1,,-3.196542884351586
42,Li1.3Al0.3Ge1.7(PO4)3,Li1.3Al0.3Ge1.7P3O12,167.0,-3.883583692224033
115,Li3.4Si0.7S0.3O4,Li3.4Si0.7S0.3O4,62.0,-6.375717904164332
737,LiTi2(PO4)3-0.3Li2O,Li1.6Al0Ti2P3O12.3,,-2.8239087409443187
261,Li9.79Sn0.79P2.21S12,Li9.79Sn0.79P2.21S12,137.0,-2.341035157335565
97,Li4SiS4,Li4SiS4,11.0,-7.6300392856003
823,Li1.8Mg1.1Cl4,Li1.8Mg1.1Cl4,,-5.818156412055227
817,Li(In0.62Li1.38)Br3.92,LiIn0.62Li1.38Br3.92,,-5.309803919971486
