,formula,space group #,space group,structure,target,ion_tosub1,ion_tosub2,ion_tosub3,ion_tosub4
0,Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Si4+,Al3+,,
1,Li3.6Ge0.6P0.4S4,,,,-3.759450752,Ge4+,P5+,,
2,Li6.4La3Zr1.4Ta0.3Nb0.3O12,230.0,Ia-3d,garnet,-3.217527376,La3+,Zr4+,Ta5+,Nb5+
3,Li1.5Cr0.5Ti1.5(PO4)3,167.0,R-3cH,nasicon,-3.413412695,Cr3+,Ti4+,,
4,Li1.4Sc0.4Ti1.6(PO4)3,,,,-5.025488307,Sc3+,Ti4+,,
5,Li3PS4,31.0,Pmn21,,-6.585026652,P5+,,,
6,Li0.39La0.54TiO3,,,perovskite,-2.991399828,La3+,Ti4+,,
7,Li3.25Ge0.25P0.75S4,11.0,P21/m,,-2.657577319,Ge4+,P5+,,
8,Li2P2S6,12.0,C2/m,,-10.1079054,P5+,,,
9,Li2.86Ca0.07InBr6,,,,-3.393618635,Ca2+,In3+,Br1-,
10,(Li0.39La0.54)1.01Cr0.02Ti0.98O3,,,,-2.995678626,La3+,Cr3+,Ti4+,
11,Li3PO4,62.0,Pnma,,-17.37675071,P5+,,,
12,Li10.425Si1.425P1.575S12,137.0,P42/nmcS,,-2.282329497,Si4+,P5+,,
13,Li14Nd5(Si11N19O5)O2F2,59.0,Pmmn,,-9.769551079,Nd3+,Si4+,,
14,Li6.175P0.825Si0.175S5Br,216.0,F-43m,,-3.031050319,P5+,Si4+,Br1-,
15,Li0.5La0.5TiO3,,,perovskite,-3.061980903,La3+,Ti4+,,
16,Li6BaLa2Ta2O12,230.0,Ia-3d,garnet,-4.397940009,Ba2+,La3+,Ta5+,
17,Li10SiP2S12,137.0,P42/nmc,,-2.638272164,Si4+,P5+,,
18,Li3.9P0.1Si0.9O4,11.0,P21/m,,-7.701146924,P5+,Si4+,,
19,Li3.2Si0.6S0.4O4,62.0,Pnma,,-5.879426069,Si4+,,,
20,Li4GeO4,63.0,Cmcm,,-9.552841969,Ge4+,,,
