base_formula,space_group_num,space_group,structure,base_log_ionic_conductivity,new_formula
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Ga0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Fe0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Cr0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8In0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Co0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Sc0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8V0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Mn0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Ti0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Si0.8Ni0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8Al0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8Ga0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8Fe0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8Cr0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8In0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8Co0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8Sc0.2S4
Li4.2Si0.8Al0.2S4,62.0,Pnma,,-7.619788758,Li4.2Ge0.8V0.2S4
