ionA ionB gAB
Cd:2+ Fe:2+ 9.774643322253958
Cr:6+ S:6+ 9.691070404310933
Co:2+ Zn:2+ 9.571055760620919
Br:1- Cl:1- 9.125010168084033
Hf:4+ Zr:4+ 9.092305983935224
Cu:1+ Hg:2+ 9.046237691445448
Th:4+ U:4+ 8.790138766494719
Re:5+ Ru:5+ 8.519296144788349
Al:3+ Fe:3+ 8.336364364529363
Be:2+ S:6+ 8.22501856342116
Cd:2+ Mn:2+ 8.151660352532884
Al:3+ Cr:3+ 7.970256841595084
Cd:2+ Mg:2+ 7.93158080445823
Mn:4+ Ti:4+ 7.911035917119985
Ga:3+ In:3+ 7.844725775988373
Cd:2+ Zn:2+ 7.7621287773951835
Mo:6+ W:6+ 7.720631602149158
Re:5+ Rh:3+ 7.639213405698901
Nb:5+ V:5+ 7.569940823443588
Rh:4+ Sn:4+ 7.519952987711048
Re:5+ Y:3+ 7.4985285671559065
Mg:2+ Mn:2+ 7.471947727841625
Se:4+ Te:4+ 7.415138261946965
Cu:2+ Zn:2+ 7.369733970965465
Ru:4+ Sn:4+ 7.357469963388181
La:3+ Nd:3+ 7.328538985167034
Cd:2+ Cu:2+ 7.300357152577235
As:5+ V:5+ 7.276986624221303
Cr:5+ Cr:6+ 7.267374195257912
Mn:3+ Sc:3+ 7.262034926332939
Co:2+ Cu:2+ 7.114181367181172
Sn:4+ V:4+ 7.10617972025817
Pr:3+ Sm:3+ 7.039826237357271
Nd:3+ Sm:3+ 7.036834068197478
Cu:2+ Ni:2+ 6.970463778935123
Fe:3+ Sc:3+ 6.8998506589509665
Mn:4+ Sn:4+ 6.867125683366174
Pd:2+ Pt:2+ 6.858414693641735
Fe:3+ Mn:3+ 6.856846274719059
Pt:4+ W:4+ 6.82832966231175
La:3+ Pr:3+ 6.809109179836627
Fe:2+ Mg:2+ 6.804374341356789
Mn:2+ Zn:2+ 6.77568160844006
Co:3+ Fe:3+ 6.720444903816843
Fe:2+ Zn:2+ 6.710811978089033
